"raw_row_number","date","time","location","county_name","subject_age","subject_race","subject_sex","type","violation","speed","posted_speed","vehicle_color","vehicle_make","vehicle_model","vehicle_type","vehicle_registration_state","vehicle_year","raw_RACE","Dark"
4013581,2014-11-20,19H 54M 0S,"ST 48 NB|48|2 - STATE","Onondaga County",32,"white","male","vehicular","SIDEWINGS/SIDEWINDOWS/NON/TRASNPRNT- 30%",NA,NA,"gy - grey","hond",NA,"1 - passenger","NY",2010,"- - WHITE",1
4013884,2014-10-19,19H 41M 0S,"ST RT 104|104|2 - STATE","Wayne County",47,"white","male","vehicular","SPEED IN ZONE",71,55,"gl - gold","satr",NA,"1 - passenger","NY",2001,"- - WHITE",0
4013904,2014-10-13,19H 13M 0S,"I86|86|1 - INTERSTATE","Chemung County",61,"hispanic","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","frht",NA,"6 - truck/tractor","FL",2006,"- - HISPANIC",0
4013992,2014-10-27,19H 13M 0S,"I 290 W/B|290|2 - STATE","Erie County",43,"black","male","vehicular","NO DISTINCTIVE PLATE/OBSTRUCTED",NA,NA,"gy - grey","infi",NA,"1 - passenger","NY",2014,"- - BLACK",0
4014263,2014-10-17,19H 16M 0S,NA,"Jefferson County",30,"white","female","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","kia",NA,"1 - passenger","NY",2005,"- - WHITE",0
4014397,2014-11-22,19H 20M 0S,"I-90|90|1 - INTERSTATE","Ontario County",18,"white","male","vehicular","UNINSPECTED MOTOR VEHICLE:EXP 10/14",NA,NA,"br- brown","buic",NA,"1 - passenger","NY",2002,"- - WHITE",1
4015071,2014-11-09,19H 54M 0S,"ST-13NB|13|2 - STATE","Tompkins County",20,"white","male","vehicular","SPEED IN ZONE",61,45,"tn - tan","niss",NA,"1 - passenger","NY",2009,"- - WHITE",1
4015113,2014-11-01,19H 13M 0S,"PAWLING AVE|66|2 - STATE","Rensselaer County",18,"white","female","vehicular","NO  LIGHTS",NA,NA,"bk - black","dodg",NA,"1 - passenger","NY",2001,"- - WHITE",0
4015245,2014-11-02,19H 30M 0S,"STATE ROUTE 11|11|2 - STATE","Clinton County",71,"white","male","vehicular","SPEED IN ZONE",52,30,"gy - grey","toyt",NA,"1 - passenger",NA,2014,"- - WHITE",0
4015272,2014-10-13,19H 16M 0S,"I-81 N/B|81|1 - INTERSTATE","Cortland County",20,"asian/pacific islander","male","vehicular","SPEED IN ZONE",84,65,"gy - grey","gm",NA,"1 - passenger",NA,2013,"- - ASIAN - EAST INDIAN",0
4015421,2014-10-25,19H 44M 0S,NA,"Yates County",24,"white","female","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","volk",NA,"1 - passenger","NY",2006,"- - WHITE",0
4015742,2014-11-16,19H 47M 0S,"SR-70|70|2 - STATE","Allegany County",41,"white","female","vehicular","DRIVING WHILE INTOXICATED (MISD)",NA,NA,"gy - grey","ford",NA,"1 - passenger","NY",2010,"- - WHITE",1
4016597,2014-11-23,19H 0M 0S,NA,"Oneida County",36,"white","female","vehicular","LEAVING/SCENE PROPERTY DAMAGE ACC.",NA,NA,"bl - blue","volv",NA,"1 - passenger","NY",2008,"- - WHITE",1
4016829,2014-10-17,19H 6M 0S,"STATE HIGHWAY 7|7|2 - STATE","Otsego County",20,"white","male","vehicular","UNINSPECTED MOTOR VEHICLE-SEPT",NA,NA,"gy - grey","hyun",NA,"1 - passenger","NY",2002,"- - WHITE",0
