ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,Licensed
6-12,29.99,2,277,4,Catapult into action and take back the eggs from the Piggy Trike!,75823,"Use the staircase catapult to launch Red into the air and race after the piggy, who is speeding off in the Piggy Trike with the eggs. Help him take the eggs out of the trike's box in this hilarious set, which also features Matilda's House to help Red relax, and a spinning Billy the Sign, based on The Angry BirdsTM Movie. Includes 3 figures.
Includes 3 figures: Red, Matilda and Biker Pig.
Bird Island Egg Heist features Matilda's House with a staircase catapult and easel, plus a branch, plants, flower elements and a Piggy Trike.
Piggy Trike features a giant front wheel, 2 balloons and a box at the rear for eggs.
Accessory elements include spinning Billy the Sign, 4 eggs and 2 bird nests.
Use Red to get into a fight with Billy the Sign to make it spin!
Place Red inside Matilda's House next to the easel and help him paintto relieve his anger!
Place the eggs in the Piggy Trike's box and watch the piggy zoom off.
Position Red on the staircase catapult and launch him at the Piggy Trike!
Create fun action scenes with a twist from The Angry BirdsTM movie.
This set offers an age-appropriate building experience for children ages 6-12.
Matilda's House measures over 5” (15cm) high, 6” (17cm) wide and 3” (9cm) deep.
Billy the Sign stands over 2” (7cm) high.
Piggy Trike measures over 3” (8cm) high,5” (15c m) long and 2” (6cm) wide.",Average,Bird Island Egg Heist,4.5,Angry Birds™,4,US,Non-Licensed
6-12,19.99,2,168,4,Launch a flying attack and rescue the eggs from the Piggy Plane!,75822,"Pilot Pig has taken off from Bird Island with 4 eggs in his plane and is making his escape. Shoot Red into the sky using the catapult and on to the Piggy Plane. Battle with the piggy and take control of the plane, and land it safely without damaging the eggs! Includes 2 figures.
Includes 2 figures: Red and Pilot Pig.
Piggy Plane features a spinning propeller, landing wheels, cockpit, joystick and 2 flick missiles.
Accessory elements include a catapult, 4 eggs and 2 balloons.
Use the catapult to launch Red at the Piggy Plane and bring it down to the ground to save the eggs!
Create fun scenes with an action twist from The Angry BirdsTM Movie.
This set offers an age-appropriate building experience for children ages 6-12.
Piggy Plane measures over 3” (9cm) high, 4” (12cm) long and 5” (13cm) wide.
Catapult measures over 1” (5cm) high, 3” (9cm) long and 2” (6cm) wide.",Easy,Piggy Plane Attack,5,Angry Birds™,4,US,Non-Licensed
6-12,12.99,11,74,4.3,Chase the piggy with lightning-fast Chuck and rescue the eggs!,75821,"Pitch speedy bird Chuck against the Piggy Car. Chase the car to try and take back the eggs, but watch out for its ice cream shooter in this fun set, based on The Angry BirdsTM Movie. Includes 2 figures.
Includes 2 figures: Chuck the Angry Bird and a piggy.
Piggy Car features 2 exhaust pipes (one with a flame), a nest, 2 eggs, flag and an ice cream shooter.
Send speedy Chuck racing after the Piggy Car to remove the eggs from the nest and bring them back to the flock.
Create fun action scenes with a twist from The Angry BirdsTM Movie.
This set offers an age-appropriate building experience for children ages 6-12.
Piggy Car measures over 2” (6cm) high, 6” (16cm) long and 2” (6cm)wide.",Easy,Piggy Car Escape,4.3,Angry Birds™,4.1,US,Non-Licensed
12+,99.99,23,1032,3.6,Explore the architecture of the United States Capitol Building!,21030,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focuses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
Build a detailed model of the United States Capitol Building!
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
United States Capitol Building measures 6 inches high, 17 inches wide, and 6 inches deep
1,032 pieces – For boys and girls over the age of 12 years old
This model of the United States Capitol Building matches the scale of the LEGO Architecture Lincoln Memorial 21022",Average,United States Capitol Building,4.6,Architecture,4.3,US,Non-Licensed
12+,79.99,14,744,3.2,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035,"Discover the architectural secrets of Frank Lloyd Wright’s Solomon R. Guggenheim Museum®. This accurately detailed LEGO® model faithfully recreates the curves and distinctive lines that have made this building an architectural icon for the last half-century. The simple, grid-patterned facade of the annex tower complements the main building with its circular rotundas, while buildable exterior elements depict a section of New York City’s 5th Avenue Museum Mile, complete with its signature yellow cabs. The Guggenheim sign, featuring Wright’s architectural lettering, has also been recreated in a similar typeface to heighten the authenticity of the model. This LEGO Architecture model has been designed to deliver a rewarding building experience for all with an interest in architecture, travel, history and design, and is suitable for display in the home and office.
Build a detailed model of New York City’s architectural icon!
Includes Frank Lloyd Wright’s famous rotunda, the 8-story annex tower and 5th Avenue Museum Mile with scaled yellow cabs
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The museum is over 4” high, 7” wide and 5” deep
744 pieces – For boys and girls over 12 years old",Challenging,Solomon R. Guggenheim Museum®,4.6,Architecture,4.1,US,Non-Licensed
12+,59.99,7,597,3.7,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039,"Recreate Shanghai in China's blend of historical and modern architecture with this realistic 21039 LEGO® Architecture Skyline Collection model. This LEGO brick collectible toy features the city's iconic points of interest, including Chenghuang Miao Temple, Longhua Temple and Pagoda, Radisson Blu Hotel, Bund area, Oriental Pearl, World Financial Center, the Shanghai Tower and Huangpu River, and is finished with a decorative Shanghai nameplate. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with realistic color depiction.
LEGO® Architecture interpretation of Shanghai, China.
Features iconic attractions Chenghuang Miao Temple, Longhua Temple and Pagoda, Radisson Blu Hotel, Bund area, Oriental Pearl, World Financial Center and the Shanghai Tower.
The Huangpu River is represented in the tiled baseplate.
The included booklet contains information about the designer, architecture and history of each structure, as well as historical facts about Shanghai and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture. Ask your parents before going online).
Includes a 4x32 tiled base with decorative Shanghai nameplate.
Recreate the world's most dynamic cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, architecture and history.
This collectible souvenir toy includes over 595 pieces and is suitable for ages 12+.
Measures over 9” (25cm) high, 11” (28cm) wide and 2” (7cm) deep.",Average,Shanghai,4.9,Architecture,4.4,US,Non-Licensed
12+,59.99,37,598,3.7,Celebrate New York City with this LEGO® Architecture Skyline model!,21028,"Celebrate the architectural diversity of New York City with this detailed LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the Flatiron Building, Chrysler Building™, Empire State Building, One World Trade Center and the Statue of Liberty, and is finished with a decorative “New York City” nameplate.
Build a detailed model of the New York City Skyline, including the Statue of Liberty!
Model features the Flatiron Building, Chrysler Building, Empire State Building, and the One World Trade Center
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
New York City Skyline measures 10 inches high, 9 inches wide, and 1 inch deep
598 pieces – For boys and girls over the age of 12 years old",Average,New York City,4.2,Architecture,4.1,US,Non-Licensed
12+,49.99,24,780,4.4,Recreate Buckingham Palace with LEGO® Architecture!,21029,"Build a LEGO® brick model of London's official royal residence. This magnificent model focuses on the palace's east wing with its famous balcony, forecourt and palace gates. A section of the Mall is also depicted, complete with a double-decker bus, black taxicab and the Victoria Memorial. The model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in architecture, travel, history and design.
Build a detailed model of London's official royal residence!
Includes the east wing, forecourt and palace gates, with the Mall, Victoria Memorial, red double-decker bus and black taxicab
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The skyline is over 3” high, 7” wide and 7” deep
780 pieces – For boys and girls over 12 years old",Average,Buckingham Palace,4.7,Architecture,4.3,US,Non-Licensed
12+,39.99,23,468,3.6,Celebrate London with this LEGO® Architecture Skyline model!,21034,"Celebrate the architectural diversity of London with this detailed LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the National Gallery, Nelson’s Column, London Eye, Big Ben (the Elizabeth Tower) and Tower Bridge, and is finished with a decorative “London” nameplate.
Build a detailed model of the London skyline!
Model features the National Gallery, Nelson’s Column, London Eye, Big Ben and Tower Bridge
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Archiecture models are compatible with all LEGO construction sets for creative building
Measures over 5” high, 11” wide and 3” deep
468 pieces – For boys and girls ages 12 and older",Average,London,4.7,Architecture,4.1,US,Non-Licensed
12+,39.99,11,444,3.6,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033,"Recreate Chicago’s blend of historical and modern architecture with this realistic LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the Willis Tower™, John Hancock Center, Cloud Gate, DuSable Bridge, Wrigley Building and the Big Red, and is finished with a decorative “Chicago” nameplate.
Build a detailed model of the Chicago skyline!
Includes Willis Tower, John Hancock Center, Cloud Gate, DuSable Bridge, Wrigley Building and the Big Red
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The skyline is over 7” high, 8” wide and 1” deep
444 pieces – For boys and girls over 12 years old",Average,Chicago,4.8,Architecture,4.5,US,Non-Licensed
12+,39.99,14,386,4.1,Experience the grandeur of the Arc de Triomphe!,21036,"Capture the architectural elegance of one of the world’s best-known monuments with this impressive LEGO® Architecture interpretation of the Arc de Triomphe. This detailed model faithfully reproduces Paris’ iconic masterpiece, with statue-adorned pillars, sculptural reliefs and subtle coloring that adds warmth while emphasizing the model’s bold lines, curves and contours. It also includes a golden plate to represent the Tomb of the Unknown Soldier, a LEGO interpretation of the eternal flame and a decorative “Arc de Triomphe” nameplate. This LEGO brick model has been designed to deliver a pleasantly challenging and rewarding building experience for all with an interest in architecture, travel, history and design, and makes a perfect display piece for the home or office.
Build a faithful reproductive of Paris’ iconic masterpiece!
Features statue-adorned pillars, sculptural reliefs and subtle coloring!
Includes a golden plate to represent the Tomb of the Unknown Soldier, a LEGO interpretation of the eternal flame and a decorative ‘Arc de Triomphe’ nameplate
Also includes booklet containing information about the design, architecture and history of the monument (French and English languages only. Other languages available for download at LEGO.com/architecture/booklet).
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
Measures over 4” high, 5” wide and 3” deep",Average,Arc de Triomphe,4.4,Architecture,3.6,US,Non-Licensed
12+,34.99,53,321,3.2,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019,"Presenting the LEGO® Architecture interpretation of one of the most iconic landmarks ever constructed – The Eiffel Tower! Designed and built by French entrepreneur, Gustave Eiffel, the original 324-meter-tall masterpiece of wrought iron engineering formed the grand entrance to the 1889 World’s Fair, held in Paris to celebrate the 100th anniversary of the French Revolution. During construction, the 18,038 wrought iron elements making up the tower’s lattice structure were bolted together at Eiffel’s factory on the outskirts of Paris, before being transported to the site, hoisted into place by steam-powered cranes operating from the elevator shafts, and assembled using no less than 2.5 million individual rivets. The resulting structure was extremely rigid and over the years has withstood storms, floods and everything else mother nature has thrown at it. Today, The Eiffel Tower is one of the world’s most popular landmarks, attracting millions of curious visitors from around the world each year. With this exceptional model, you can now build your very own 321-piece Eiffel Tower in LEGO brick form and display it in your home, office or wherever you like!
Build a detailed model of the Eiffel Tower in Paris, France!
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The Eiffel Tower measures 12 inches high, 4 inches wide, and 4 inches deep
321 pieces – For boys and girls over the age of 12 years old",Average,The Eiffel Tower,4.6,Architecture,4.4,US,Non-Licensed
12+,29.99,7,361,4.2,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032,"Capture the architectural essence and splendor of Sydney with this magnificent set that brings together the iconic Sydney Opera House™, Sydney Harbour Bridge, Sydney Tower and Deutsche Bank Place, in an inspirational skyline setting. Each individual LEGO® structure provides a unique and rewarding building experience with true-to-life color and relative scale depiction. Sydney's sparkling harbor is represented in the tiled baseplate, adding an extra dimension and feel of authenticity to this detailed recreation of one of the world's most glamorous cities.
Build a detailed model of the Sydney skyline!
Includes the Sydney Opera House™, Sydney Harbour Bridge, Sydney Tower and Deutsche Bank Place
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The skyline is over 8” high, 9” wide and 2” deep
361 pieces – For boys and girls over 12 years old",Easy,Sydney,4.6,Architecture,4.2,US,Non-Licensed
10+,29.99,13,708,4.7,Build a LEGO® BrickHeadz version of yourself!,41597,"Fuel your creativity by making a LEGO® BrickHeadz version of yourself, friends and family or colleagues with this fun set. Create two BrickHeadz construction characters using the specially selected LEGO bricks for different hairstyles and skin color, plus there are two kinds of glasses, a sticker sheet to personalize your builds, and a brick separator. Display your creations on the buildable baseplates in your home, office or anywhere you like.
Create 2 unique LEGO® BrickHeadz construction characters with LEGO bricks.
Also includes a sticker sheet to add different details.
Comes with 2 buildable baseplates.
Have fun building your own LEGO® BrickHeadz characters, then share a selfie with your friends, family or colleagues.
Mash up your own LEGO® BrickHeadz persona with other famous BrickHeadz characters, to create a super-cool hybrid version of yourself.
These construction characters are suitable for ages 10+.
Baseplates measures over 1” (4cm) square.",Average,Go Brick Me,4.8,BrickHeadz,4.8,US,Non-Licensed
10+,19.99,1,234,3,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614,"These LEGO® BrickHeadz™ 41614 Owen & Blue construction characters are fun to build using colorful LEGO bricks that recreate all their iconic details from the blockbuster Jurassic World: Fallen Kingdom movie, including a dino trainer, Owen’s tranquilizer gun and velociraptor Blue's ferocious white teeth. Each character stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction characters featuring Owen and Blue have BrickHeadz eyes and authentic details from the blockbuster Jurassic World: Fallen Kingdom movie, including Owen’s tranquilizer gun and velociraptor Blue’s white teeth.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other classic characters from your favorite movies, TV series, games and comics.
Each stands over 2” (7cm) tall without baseplate.
Baseplates measure over 1” (4cm) square.",Easy,Owen & Blue,5,BrickHeadz,5,US,Non-Licensed
10+,19.99,1,160,5,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613,"These LEGO® BrickHeadz™ 41613 Mr. Incredible & Frozone construction characters are fun to build using colorful LEGO bricks that recreate all their iconic details from Disney•Pixar’s blockbuster Incredibles 2 movie. Each character stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction characters featuring Disney
Pixar’s Mr. Incredible and Frozone have BrickHeadz eyes and iconic super hero costumes from the blockbuster Incredibles 2 movie.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other classic characters from your favorite movies, TV series, games and comics.
Mash up your LEGO® BrickHeadz™ construction characters to create supercool hybrids or your own amazing characters.
Each character stands over 2” (7cm) tall without baseplate.
Baseplates measure over 1” (4cm) square.",Very Easy,Mr. Incredible & Frozone,5,BrickHeadz,5,US,Non-Licensed
10+,9.99,1,149,2,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,"This LEGO® BrickHeadz™ 41609 Chewbacca is fun to build using colorful LEGO bricks that recreate all of his iconic details from the Star Wars saga, including matted fur and ammunition belt. He also has a detachable blaster and stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction character featuring Chewbacca has authentic details from the Star Wars saga, including matted fur, ammunition belt and a detachable blaster.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from the Star Wars saga, and many more from your favorite TV series, games and comics.
Chewbacca toy stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Very Easy,Chewbacca™,3,BrickHeadz,4,US,Non-Licensed
10+,9.99,1,141,2,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,"This LEGO® BrickHeadz™ 41608 Han Solo is fun to build using colorful LEGO bricks that recreate all of his iconic details from the Star Wars saga, including a brown jacket and utility belt. He also has a detachable blaster and stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction character featuring Han Solo has authentic details from the Star Wars saga, including an iconic brown jacket, utility belt and a detachable blaster.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate featuring the BrickHeadz logo.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from the Star Wars saga, and many more from your favorite TV series, games and comics.
Han Solo model stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Very Easy,Han Solo™,4,BrickHeadz,4,US,Non-Licensed
