ages,price,reviews,pieces,description,id,difficulty,theme,Licensed
12-Jun,29.99,2,277,Catapult into action and take back the eggs from the Piggy Trike!,75823,Average,Angry Birds™,Non-Licensed
12-Jun,19.99,2,168,Launch a flying attack and rescue the eggs from the Piggy Plane!,75822,Easy,Angry Birds™,Non-Licensed
12-Jun,12.99,11,74,Chase the piggy with lightning-fast Chuck and rescue the eggs!,75821,Easy,Angry Birds™,Non-Licensed
12+,99.99,23,1032,Explore the architecture of the United States Capitol Building!,21030,Average,Architecture,Non-Licensed
12+,79.99,14,744,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035,Challenging,Architecture,Non-Licensed
12+,59.99,7,597,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039,Average,Architecture,Non-Licensed
12+,59.99,37,598,Celebrate New York City with this LEGO® Architecture Skyline model!,21028,Average,Architecture,Non-Licensed
12+,49.99,24,780,Recreate Buckingham Palace with LEGO® Architecture!,21029,Average,Architecture,Non-Licensed
12+,39.99,23,468,Celebrate London with this LEGO® Architecture Skyline model!,21034,Average,Architecture,Non-Licensed
12+,39.99,11,444,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033,Average,Architecture,Non-Licensed
12+,39.99,14,386,Experience the grandeur of the Arc de Triomphe!,21036,Average,Architecture,Non-Licensed
12+,34.99,53,321,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019,Average,Architecture,Non-Licensed
12+,29.99,7,361,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032,Easy,Architecture,Non-Licensed
10+,29.99,13,708,Build a LEGO® BrickHeadz version of yourself!,41597,Average,BrickHeadz,Non-Licensed
10+,19.99,1,234,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614,Easy,BrickHeadz,Non-Licensed
10+,19.99,1,160,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613,Very Easy,BrickHeadz,Non-Licensed
10+,9.99,1,149,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,Very Easy,BrickHeadz,Non-Licensed
10+,9.99,1,141,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,Very Easy,BrickHeadz,Non-Licensed
10+,9.99,3,101,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604,Average,BrickHeadz,Non-Licensed
10+,9.99,2,105,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605,Easy,BrickHeadz,Non-Licensed
10+,9.99,1,113,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606,Easy,BrickHeadz,Non-Licensed
10+,9.99,1,136,Master the skills of a green-skinned assassin with LEGO® BrickHeadz Gamora!,41607,NA,BrickHeadz,Non-Licensed
10+,9.99,2,91,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485,Easy,BrickHeadz,Non-Licensed
10+,9.99,7,140,Say “I love you” with a LEGO® BrickHeadz™ Valentine's Bee!,40270,Easy,BrickHeadz,Non-Licensed
10+,9.99,5,143,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,BrickHeadz,Non-Licensed
