TimeIndex,Marvel,OnAir,Disney,DowneyJr,DC,DIS
1,8,No,41,3,36,19.313591
2,7,No,41,3,35,21.349562
3,8,No,36,4,32,20.110277
4,9,Yes,35,6,31,18.532993
5,8,Yes,34,8,36,18.887079
6,8,Yes,33,2,37,20.512642
7,13,No,34,4,39,18.581278
8,9,Yes,34,4,46,18.066252
9,7,Yes,32,3,43,18.146723
10,8,No,36,5,35,20.295359
11,7,No,37,7,30,21.631218
12,7,No,37,5,36,22.371576
13,7,Yes,40,3,35,23.245365
14,7,No,40,5,35,22.685135
15,7,No,40,2,37,23.326555
16,7,No,37,5,34,21.434774
17,6,No,38,6,32,22.279181
18,8,No,41,1,44,20.444231
19,9,Yes,39,4,40,20.817713
20,7,Yes,38,6,40,20.452347
21,10,No,36,5,35,19.591707
22,10,No,39,5,45,19.78657
23,7,No,41,3,29,20.241247
24,8,No,43,3,36,19.4618
25,7,No,48,4,36,20.768225
26,8,No,43,5,41,22.967304
27,8,Yes,46,3,32,22.88525
28,8,No,45,3,31,22.94269
29,10,Yes,42,3,35,25.026896
30,12,Yes,54,3,47,24.616621
31,10,No,54,6,43,24.362249
32,9,No,48,4,37,24.329432
33,9,No,44,9,32,25.363325
34,13,No,48,8,38,25.814629
35,14,No,48,4,27,27.11931
36,11,No,51,2,31,28.120386
37,12,No,55,3,31,29.120245
38,10,Yes,53,5,32,28.3585
39,11,Yes,49,5,33,28.507536
40,10,No,45,5,29,28.962917
41,12,Yes,47,3,34,29.343798
42,11,Yes,52,5,29,28.654243
43,10,Yes,48,7,33,27.69743
44,8,No,51,4,32,28.201021
45,8,No,46,7,30,28.864077
46,8,No,45,4,27,29.065516
47,9,No,47,3,27,27.823324
48,9,No,50,4,31,27.093122
49,8,No,50,4,29,25.315735
50,8,No,47,4,31,27.496084
51,8,No,45,11,31,26.622246
52,8,No,42,15,32,27.513054
53,14,Yes,44,61,40,28.505657
54,14,Yes,46,31,39,26.469542
55,11,Yes,47,18,53,25.748415
56,10,No,49,41,44,27.445175
57,8,Yes,42,17,29,26.036863
58,9,No,44,20,33,21.981594
59,10,No,48,18,35,19.105572
60,10,No,47,21,38,19.249802
61,9,No,50,21,41,17.807533
62,9,No,45,20,37,14.440637
63,9,No,49,12,34,15.637565
64,10,No,43,13,31,18.858074
65,13,Yes,42,11,32,20.855825
66,10,No,45,11,29,20.089447
67,12,No,47,12,40,21.630816
68,14,No,44,13,40,22.423027
69,18,No,44,10,36,23.64579
70,12,No,45,10,33,23.568293
71,9,No,44,11,31,26.022419
72,10,No,48,40,33,27.770452
73,9,No,48,38,34,25.738926
74,9,No,47,18,35,27.210964
75,8,No,47,20,30,30.407646
76,10,No,40,25,33,32.088741
77,12,Yes,41,54,35,29.10981
78,10,Yes,42,18,33,27.437429
79,10,Yes,38,20,38,29.344988
80,9,Yes,36,13,36,28.3433
81,9,No,34,17,36,28.831081
82,9,No,38,24,35,31.470297
83,9,No,40,26,35,31.801287
84,10,No,42,20,34,32.672321
85,12,No,48,29,58,34.227242
86,23,No,45,26,49,38.515556
87,13,No,45,21,37,37.943199
88,10,No,42,18,32,37.952
89,12,Yes,39,13,36,36.657589
90,12,Yes,44,13,57,34.376938
91,14,Yes,44,17,46,34.007111
92,12,Yes,42,14,44,29.991772
93,10,No,39,14,49,26.557594
94,11,No,42,18,46,30.713825
95,10,No,42,19,56,31.567965
96,9,No,46,34,49,33.020885
97,9,No,46,24,47,34.828869
98,9,Yes,45,23,37,37.595486
99,10,No,44,18,43,39.198147
100,13,No,40,24,46,38.598274
101,26,Yes,39,58,68,40.926159
102,15,No,45,44,58,43.424168
103,17,Yes,46,32,73,43.997189
104,13,Yes,42,32,53,44.29266
105,12,No,38,26,49,46.808563
106,13,No,42,28,45,43.979282
107,11,No,43,28,39,44.462772
108,12,No,44,23,45,44.579163
109,11,No,46,33,47,48.981926
110,11,No,42,28,47,49.62738
111,13,No,44,28,48,51.636471
112,14,No,41,48,58,57.127399
113,17,Yes,42,100,60,57.345581
114,18,Yes,41,49,63,57.409218
115,18,Yes,46,41,62,58.772854
116,16,Yes,45,36,55,55.300121
117,14,No,39,35,48,58.627392
118,18,Yes,41,24,50,62.354687
119,22,Yes,45,26,52,64.127411
120,21,No,50,26,50,69.454697
121,21,No,50,40,53,66.824158
122,20,No,46,27,50,74.37075
123,21,No,49,27,51,73.68972
124,26,Yes,48,34,59,73.017899
125,25,Yes,46,28,58,77.315765
126,19,Yes,43,30,53,78.907913
127,23,Yes,46,34,60,79.036758
128,28,Yes,43,27,59,82.71801
129,20,Yes,40,29,47,81.935745
130,26,No,42,52,75,84.098503
131,24,No,45,27,72,85.138458
132,25,No,48,21,72,86.684593
133,24,No,46,28,64,84.77594
134,22,No,42,26,68,97.003952
135,22,No,43,32,55,97.758888
136,27,No,39,59,64,101.328491
137,38,Yes,40,39,74,102.866318
138,24,Yes,41,29,61,106.380013
139,27,Yes,43,24,74,111.841606
140,25,Yes,44,31,61,95.505775
141,21,No,43,20,54,95.805756
142,21,No,42,22,72,106.623749
143,21,No,41,20,60,106.370651
144,23,No,45,23,64,98.505562
145,22,No,44,23,70,90.400734
146,24,Yes,43,20,76,90.117691
147,27,No,42,24,100,93.693352
148,25,No,41,28,93,97.419945
149,37,Yes,41,46,95,93.608437
150,24,Yes,50,23,78,92.287613
151,22,No,39,21,71,90.523369
152,18,No,35,17,77,89.765015
153,18,No,36,19,64,88.244537
154,24,Yes,39,16,83,88.082977
155,20,Yes,38,16,77,94.193405
156,20,Yes,40,15,68,99.039902
157,18,No,41,20,63,105.960678
158,19,No,40,15,61,105.424408
159,23,Yes,43,18,59,108.584564
160,20,Yes,39,19,60,110.700897
161,24,Yes,38,19,70,103.365532
162,22,Yes,37,18,88,101.747154
163,27,Yes,40,30,75,105.271187
164,22,No,36,24,60,97.632111
165,19,No,36,15,53,95.094833
166,18,Yes,36,18,64,94.361626
167,28,Yes,39,19,90,101.124474
168,27,No,43,17,69,103.719643
169,21,No,41,16,57,105.682114
170,28,No,39,16,60,100.323616
171,30,No,40,23,60,97.678398
172,47,Yes,38,31,66,97.571426
173,65,Yes,36,43,79,96.735069
174,33,No,38,27,63,101.928246
175,31,Yes,38,23,75,110.43766
176,31,Yes,36,25,64,109.815689
177,37,No,34,20,57,114.638885
178,26,No,39,17,62,112.570404
179,24,No,37,17,57,113.217415
180,34,Yes,40,21,71,107.49234
181,33,Yes,42,22,72,110.173546
182,34,No,38,24,55,111.477608
183,100,Yes,41,20,62,109.689461
184,74,Yes,38,74,72,135.316269
185,60,Yes,36,91,67,130.445786
186,38,Yes,39,37,60,137.954025
187,42,Yes,42,38,61,141.28334
188,33,Yes,41,36,59,136.442535
189,22,No,37,26,48,129.543869
190,19,No,41,27,64,129.146255
191,28,No,100,26,49,150.677261
192,28,No,65,29,52,143.768646
193,24,No,57,48,55,138.309998
