entrepreneur,vet
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
Y,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
Y,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
N,Y
